Time_s,MotionPhase,LeftSideSpeed_mps,RightSideSpeed_mps,LeftFrontRearWheelSpeed_radps,RightFrontRearWheelSpeed_radps,LinearSpeed_mps,IdealYawRate_radps,SkidAdjustedYawRate_radps,IdealX_m,IdealY_m,IdealHeading_rad,SkidX_m,SkidY_m,SkidHeading_rad
18.84,Right arc,0.28,0.1,8,2.85714285714286,0.19,-0.666666666666667,-0.533333333333334,2.02341173257757,-0.273099562858205,3.36592592592597,0.913973123178962,-0.653923499525567,2.69274074074075
18.86,Right arc,0.28,0.1,8,2.85714285714286,0.19,-0.666666666666667,-0.533333333333334,2.0197013973476,-0.273920179992596,3.35259259259264,0.910558371801308,-0.652256324361163,2.68207407407408
18.88,Right arc,0.28,0.1,8,2.85714285714286,0.19,-0.666666666666667,-0.533333333333334,2.01598045068272,-0.274691254513723,3.3392592592593,0.907161597547756,-0.650552820715611,2.67140740740742
18.9,Right arc,0.28,0.1,8,2.85714285714286,0.19,-0.666666666666667,-0.533333333333334,2.01224955407476,-0.275412649343699,3.32592592592597,0.90378318689207,-0.648813182407932,2.66074074074075
18.92,Right arc,0.28,0.1,8,2.85714285714286,0.19,-0.666666666666667,-0.533333333333334,2.0085093707844,-0.276084236236456,3.31259259259264,0.90042352421866,-0.64703760736843,2.65007407407408
18.94,Right arc,0.28,0.1,8,2.85714285714286,0.19,-0.666666666666667,-0.533333333333334,2.00476056572327,-0.276705895800536,3.2992592592593,0.897082991778857,-0.645226297616173,2.63940740740742
18.96,Right arc,0.28,0.1,8,2.85714285714286,0.19,-0.666666666666667,-0.533333333333334,2.00100380533572,-0.277277517520321,3.28592592592597,0.893761969647414,-0.643379459236004,2.62874074074075
18.98,Right arc,0.28,0.1,8,2.85714285714286,0.19,-0.666666666666667,-0.533333333333334,1.99723975748037,-0.277798999775678,3.27259259259264,0.890460835679266,-0.641497302355098,2.61807407407408
19,Stop,0,0,0,0,0,0,0,1.99346909131137,-0.278270249860024,3.2592592592593,0.88717996546654,-0.639580041119053,2.60740740740742
19.02,Stop,0,0,0,0,0,0,0,1.99346909131137,-0.278270249860024,3.2592592592593,0.88717996546654,-0.639580041119053,2.60740740740742
19.04,Stop,0,0,0,0,0,0,0,1.99346909131137,-0.278270249860024,3.2592592592593,0.88717996546654,-0.639580041119053,2.60740740740742
19.06,Stop,0,0,0,0,0,0,0,1.99346909131137,-0.278270249860024,3.2592592592593,0.88717996546654,-0.639580041119053,2.60740740740742
19.08,Stop,0,0,0,0,0,0,0,1.99346909131137,-0.278270249860024,3.2592592592593,0.88717996546654,-0.639580041119053,2.60740740740742
19.1,Stop,0,0,0,0,0,0,0,1.99346909131137,-0.278270249860024,3.2592592592593,0.88717996546654,-0.639580041119053,2.60740740740742
19.12,Stop,0,0,0,0,0,0,0,1.99346909131137,-0.278270249860024,3.2592592592593,0.88717996546654,-0.639580041119053,2.60740740740742
19.14,Stop,0,0,0,0,0,0,0,1.99346909131137,-0.278270249860024,3.2592592592593,0.88717996546654,-0.639580041119053,2.60740740740742
19.16,Stop,0,0,0,0,0,0,0,1.99346909131137,-0.278270249860024,3.2592592592593,0.88717996546654,-0.639580041119053,2.60740740740742
19.18,Stop,0,0,0,0,0,0,0,1.99346909131137,-0.278270249860024,3.2592592592593,0.88717996546654,-0.639580041119053,2.60740740740742
19.2,Stop,0,0,0,0,0,0,0,1.99346909131137,-0.278270249860024,3.2592592592593,0.88717996546654,-0.639580041119053,2.60740740740742
19.22,Stop,0,0,0,0,0,0,0,1.99346909131137,-0.278270249860024,3.2592592592593,0.88717996546654,-0.639580041119053,2.60740740740742
19.24,Stop,0,0,0,0,0,0,0,1.99346909131137,-0.278270249860024,3.2592592592593,0.88717996546654,-0.639580041119053,2.60740740740742
19.26,Stop,0,0,0,0,0,0,0,1.99346909131137,-0.278270249860024,3.2592592592593,0.88717996546654,-0.639580041119053,2.60740740740742
19.28,Stop,0,0,0,0,0,0,0,1.99346909131137,-0.278270249860024,3.2592592592593,0.88717996546654,-0.639580041119053,2.60740740740742
19.3,Stop,0,0,0,0,0,0,0,1.99346909131137,-0.278270249860024,3.2592592592593,0.88717996546654,-0.639580041119053,2.60740740740742
19.32,Stop,0,0,0,0,0,0,0,1.99346909131137,-0.278270249860024,3.2592592592593,0.88717996546654,-0.639580041119053,2.60740740740742
